No,;Time;Source;Destination;;time 1;time 2;delay;delay 1;delay 2;jitter
9046;47,628690;202,67,42,206;192,168,80,187;;47,628690;47,628690;0;0;0;0
9047;47,628690;202,67,42,206;192,168,80,187;;47,628690;47,628690;0;0;0;0
9048;47,628690;202,67,42,206;192,168,80,187;;47,628690;47,628690;0;0;0;0
9049;47,628690;202,67,42,206;192,168,80,187;;47,628690;47,628690;0;-0,000349;0,000349;0,000698
9050;47,628690;202,67,42,206;192,168,80,187;;47,628690;47,629039;0,000349;-0,000511;0,00086;0,001371
9051;47,629039;192,168,80,187;202,67,42,206;;47,629039;47,629899;0,00086;0,000839;2,1E-05;-0,000818
9052;47,629899;202,67,42,206;192,168,80,187;;47,629899;47,629920;2,1E-05;9E-06;1,2E-05;3E-06
9053;47,629920;202,67,42,206;192,168,80,187;;47,629920;47,629932;1,2E-05;-0,000224;0,000236;0,00046
9054;47,629932;202,67,42,206;192,168,80,187;;47,629932;47,630168;0,000236;9,2E-05;0,000144;5,2E-05
9055;47,630168;192,168,80,187;202,67,42,206;;47,630168;47,630312;0,000144;4E-06;0,00014;0,000136
9056;47,630312;192,168,80,187;202,67,42,206;;47,630312;47,630452;0,00014;-0,000585;0,000725;0,00131
9057;47,630452;192,168,80,187;202,67,42,206;;47,630452;47,631177;0,000725;-0,000523;0,001248;0,001771
9058;47,631177;202,67,42,206;192,168,80,187;;47,631177;47,632425;0,001248;0,001042;0,000206;-0,000836
9059;47,632425;202,67,42,206;192,168,80,187;;47,632425;47,632631;0,000206;-0,001942;0,002148;0,00409
9060;47,632631;192,168,80,187;202,67,42,206;;47,632631;47,634779;0,002148;0,002148;0;-0,002148
9061;47,634779;202,67,42,206;192,168,80,187;;47,634779;47,634779;0;0;0;0
9062;47,634779;202,67,42,206;192,168,80,187;;47,634779;47,634779;0;-2,2E-05;2,2E-05;4,4E-05
9063;47,634779;202,67,42,206;192,168,80,187;;47,634779;47,634801;2,2E-05;1E-05;1,2E-05;2E-06
9064;47,634801;202,67,42,206;192,168,80,187;;47,634801;47,634813;1,2E-05;-0,000204;0,000216;0,00042
9065;47,634813;202,67,42,206;192,168,80,187;;47,634813;47,635029;0,000216;4,2E-05;0,000174;0,000132
9066;47,635029;192,168,80,187;202,67,42,206;;47,635029;47,635203;0,000174;1E-06;0,000173;0,000172
9067;47,635203;192,168,80,187;202,67,42,206;;47,635203;47,635376;0,000173;-0,002358;0,002531;0,004889
9068;47,635376;192,168,80,187;202,67,42,206;;47,635376;47,637907;0,002531;0,002511;2E-05;-0,002491
9069;47,637907;202,67,42,206;192,168,80,187;;47,637907;47,637927;2E-05;-0,000199;0,000219;0,000418
9070;47,637927;202,67,42,206;192,168,80,187;;47,637927;47,638146;0,000219;6,3E-05;0,000156;9,3E-05
9071;47,638146;192,168,80,187;202,67,42,206;;47,638146;47,638302;0,000156;-0,002701;0,002857;0,005558
9072;47,638302;192,168,80,187;202,67,42,206;;47,638302;47,641159;0,002857;0,002837;2E-05;-0,002817
9073;47,641159;202,67,42,206;192,168,80,187;;47,641159;47,641179;2E-05;-0,000177;0,000197;0,000374
9074;47,641179;202,67,42,206;192,168,80,187;;47,641179;47,641376;0,000197;5,3E-05;0,000144;9,1E-05
9075;47,641376;192,168,80,187;202,67,42,206;;47,641376;47,641520;0,000144;-0,000616;0,00076;0,001376
9076;47,641520;192,168,80,187;202,67,42,206;;47,641520;47,642280;0,00076;-0,000233;0,000993;0,001226
9077;47,642280;202,67,42,206;192,168,80,187;;47,642280;47,643273;0,000993;-0,001393;0,002386;0,003779
9078;47,643273;202,67,42,206;192,168,80,187;;47,643273;47,645659;0,002386;0,002366;2E-05;-0,002346
9079;47,645659;202,67,42,206;192,168,80,187;;47,645659;47,645679;2E-05;8E-06;1,2E-05;4E-06
9080;47,645679;202,67,42,206;192,168,80,187;;47,645679;47,645691;1,2E-05;0;1,2E-05;1,2E-05
9081;47,645691;202,67,42,206;192,168,80,187;;47,645691;47,645703;1,2E-05;-0,000198;0,00021;0,000408
9082;47,645703;202,67,42,206;192,168,80,187;;47,645703;47,645913;0,00021;6,7E-05;0,000143;7,6E-05
9083;47,645913;192,168,80,187;202,67,42,206;;47,645913;47,646056;0,000143;-0,00028;0,000423;0,000703
9084;47,646056;192,168,80,187;202,67,42,206;;47,646056;47,646479;0,000423;0,000246;0,000177;-6,9E-05
9085;47,646479;192,168,80,187;202,67,42,206;;47,646479;47,646656;0,000177;0,000165;1,2E-05;-0,000153
9086;47,646656;202,67,42,206;192,168,80,187;;47,646656;47,646668;1,2E-05;4E-06;8E-06;4E-06
9087;47,646668;192,168,80,187;202,67,42,206;;47,646668;47,646676;8E-06;-0,000217;0,000225;0,000442
9088;47,646676;202,67,42,206;192,168,80,187;;47,646676;47,646901;0,000225;7,6E-05;0,000149;7,3E-05
9089;47,646901;192,168,80,187;202,67,42,206;;47,646901;47,647050;0,000149;-0,00332;0,003469;0,006789
9090;47,647050;192,168,80,187;202,67,42,206;;47,647050;47,650519;0,003469;0,003438;3,1E-05;-0,003407
9091;47,650519;202,67,42,206;192,168,80,187;;47,650519;47,650550;3,1E-05;3,1E-05;0;-3,1E-05
9092;47,650550;202,67,42,206;192,168,80,187;;47,650550;47,650550;0;0;0;0
9093;47,650550;202,67,42,206;192,168,80,187;;47,650550;47,650550;0;0;0;0
9094;47,650550;202,67,42,206;192,168,80,187;;47,650550;47,650550;0;0;0;0
9095;47,650550;202,67,42,206;192,168,80,187;;47,650550;47,650550;0;0;0;0
9096;47,650550;202,67,42,206;192,168,80,187;;47,650550;47,650550;0;-0,000245;0,000245;0,00049
9097;47,650550;202,67,42,206;192,168,80,187;;47,650550;47,650795;0,000245;8,5E-05;0,00016;7,5E-05
9098;47,650795;192,168,80,187;202,67,42,206;;47,650795;47,650955;0,00016;3,2E-05;0,000128;9,6E-05
9099;47,650955;192,168,80,187;202,67,42,206;;47,650955;47,651083;0,000128;6E-06;0,000122;0,000116
9100;47,651083;192,168,80,187;202,67,42,206;;47,651083;47,651205;0,000122;7E-06;0,000115;0,000108
9101;47,651205;192,168,80,187;202,67,42,206;;47,651205;47,651320;0,000115;-1,7E-05;0,000132;0,000149
9102;47,651320;192,168,80,187;202,67,42,206;;47,651320;47,651452;0,000132;1,4E-05;0,000118;0,000104
9103;47,651452;192,168,80,187;202,67,42,206;;47,651452;47,651570;0,000118;-0,004504;0,004622;0,009126
9104;47,651570;192,168,80,187;202,67,42,206;;47,651570;47,656192;0,004622;0,004622;0;-0,004622
9105;47,656192;202,67,42,206;192,168,80,187;;47,656192;47,656192;0;-0,000206;0,000206;0,000412
9106;47,656192;202,67,42,206;192,168,80,187;;47,656192;47,656398;0,000206;5,3E-05;0,000153;1E-04
9107;47,656398;192,168,80,187;202,67,42,206;;47,656398;47,656551;0,000153;-0,000845;0,000998;0,001843
9108;47,656551;192,168,80,187;202,67,42,206;;47,656551;47,657549;0,000998;0,000977;2,1E-05;-0,000956
9109;47,657549;202,67,42,206;192,168,80,187;;47,657549;47,657570;2,1E-05;-0,000176;0,000197;0,000373
9110;47,657570;202,67,42,206;192,168,80,187;;47,657570;47,657767;0,000197;-0,009248;0,009445;0,018693
9111;47,657767;192,168,80,187;202,67,42,206;;47,657767;47,667212;0,009445;-0,100385;0,10983;0,210215
9112;47,667212;192,168,80,187;202,67,42,206;;47,667212;47,777042;0,10983;0,10983;0;-0,10983
9113;47,777042;202,67,42,206;192,168,80,187;;47,777042;47,777042;0;0;0;0
9114;47,777042;202,67,42,206;192,168,80,187;;47,777042;47,777042;0;-4E-05;4E-05;8E-05
9115;47,777042;202,67,42,206;192,168,80,187;;47,777042;47,777082;4E-05;-0,000333;0,000373;0,000706
9116;47,777082;202,67,42,206;192,168,80,187;;47,777082;47,777455;0,000373;0,000194;0,000179;-1,5E-05
9117;47,777455;192,168,80,187;202,67,42,206;;47,777455;47,777634;0,000179;2E-05;0,000159;0,000139
9118;47,777634;192,168,80,187;202,67,42,206;;47,777634;47,777793;0,000159;-0,00044;0,000599;0,001039
9119;47,777793;192,168,80,187;202,67,42,206;;47,777793;47,778392;0,000599;0,000573;2,6E-05;-0,000547
9120;47,778392;202,67,42,206;192,168,80,187;;47,778392;47,778418;2,6E-05;-3,6E-05;6,2E-05;9,8E-05
9121;47,778418;202,67,42,206;192,168,80,187;;47,778418;47,778480;6,2E-05;6,2E-05;0;-6,2E-05
9122;47,778480;202,67,42,206;192,168,80,187;;47,778480;47,778480;0;0;0;0
9123;47,778480;202,67,42,206;192,168,80,187;;47,778480;47,778480;0;0;0;0
9124;47,778480;202,67,42,206;192,168,80,187;;47,778480;47,778480;0;0;0;0
9125;47,778480;202,67,42,206;192,168,80,187;;47,778480;47,778480;0;0;0;0
9126;47,778480;202,67,42,206;192,168,80,187;;47,778480;47,778480;0;0;0;0
9127;47,778480;202,67,42,206;192,168,80,187;;47,778480;47,778480;0;0;0;0
9128;47,778480;202,67,42,206;192,168,80,187;;47,778480;47,778480;0;0;0;0
9129;47,778480;202,67,42,206;192,168,80,187;;47,778480;47,778480;0;-0,000333;0,000333;0,000666
9130;47,778480;202,67,42,206;192,168,80,187;;47,778480;47,778813;0,000333;0,00016;0,000173;1,3E-05
9131;47,778813;192,168,80,187;202,67,42,206;;47,778813;47,778986;0,000173;1,9E-05;0,000154;0,000135
9132;47,778986;192,168,80,187;202,67,42,206;;47,778986;47,779140;0,000154;1,1E-05;0,000143;0,000132
9133;47,779140;192,168,80,187;202,67,42,206;;47,779140;47,779283;0,000143;3E-06;0,00014;0,000137
9134;47,779283;192,168,80,187;202,67,42,206;;47,779283;47,779423;0,00014;-6E-06;0,000146;0,000152
9135;47,779423;192,168,80,187;202,67,42,206;;47,779423;47,779569;0,000146;6E-05;8,6E-05;2,6E-05
9136;47,779569;192,168,80,187;202,67,42,206;;47,779569;47,779655;8,6E-05;6,3E-05;2,3E-05;-4E-05
9137;47,779655;202,67,42,206;192,168,80,187;;47,779655;47,779678;2,3E-05;2,3E-05;0;-2,3E-05
9138;47,779678;202,67,42,206;192,168,80,187;;47,779678;47,779678;0;-1,4E-05;1,4E-05;2,8E-05
9139;47,779678;202,67,42,206;192,168,80,187;;47,779678;47,779692;1,4E-05;6E-06;8E-06;2E-06
9140;47,779692;202,67,42,206;192,168,80,187;;47,779692;47,779700;8E-06;-0,000143;0,000151;0,000294
9141;47,779700;192,168,80,187;202,67,42,206;;47,779700;47,779851;0,000151;3,1E-05;0,00012;8,9E-05
9142;47,779851;192,168,80,187;202,67,42,206;;47,779851;47,779971;0,00012;1E-06;0,000119;0,000118
9143;47,779971;192,168,80,187;202,67,42,206;;47,779971;47,780090;0,000119;-1E-05;0,000129;0,000139
9144;47,780090;192,168,80,187;202,67,42,206;;47,780090;47,780219;0,000129;1,3E-05;0,000116;0,000103
9145;47,780219;192,168,80,187;202,67,42,206;;47,780219;47,780335;0,000116;-2,5E-05;0,000141;0,000166
9146;47,780335;192,168,80,187;202,67,42,206;;47,780335;47,780476;0,000141;-2E-05;0,000161;0,000181
9147;47,780476;192,168,80,187;202,67,42,206;;47,780476;47,780637;0,000161;1,9E-05;0,000142;0,000123
9148;47,780637;192,168,80,187;202,67,42,206;;47,780637;47,780779;0,000142;1,9E-05;0,000123;0,000104
9149;47,780779;192,168,80,187;202,67,42,206;;47,780779;47,780902;0,000123;0,000103;2E-05;-8,3E-05
9150;47,780902;202,67,42,206;192,168,80,187;;47,780902;47,780922;2E-05;8E-06;1,2E-05;4E-06
9151;47,780922;202,67,42,206;192,168,80,187;;47,780922;47,780934;1,2E-05;-0,000252;0,000264;0,000516
9152;47,780934;202,67,42,206;192,168,80,187;;47,780934;47,781198;0,000264;0,000108;0,000156;4,8E-05
9153;47,781198;192,168,80,187;202,67,42,206;;47,781198;47,781354;0,000156;3,2E-05;0,000124;9,2E-05
9154;47,781354;192,168,80,187;202,67,42,206;;47,781354;47,781478;0,000124;-0,000565;0,000689;0,001254
9155;47,781478;192,168,80,187;202,67,42,206;;47,781478;47,782167;0,000689;0,00067;1,9E-05;-0,000651
9156;47,782167;202,67,42,206;192,168,80,187;;47,782167;47,782186;1,9E-05;-0,000184;0,000203;0,000387
9157;47,782186;202,67,42,206;192,168,80,187;;47,782186;47,782389;0,000203;5,8E-05;0,000145;8,7E-05
9158;47,782389;192,168,80,187;202,67,42,206;;47,782389;47,782534;0,000145;-0,005606;0,005751;0,011357
9159;47,782534;192,168,80,187;202,67,42,206;;47,782534;47,788285;0,005751;0,005731;2E-05;-0,005711
9160;47,788285;202,67,42,206;192,168,80,187;;47,788285;47,788305;2E-05;6E-06;1,4E-05;8E-06
9161;47,788305;202,67,42,206;192,168,80,187;;47,788305;47,788319;1,4E-05;-0,000199;0,000213;0,000412
9162;47,788319;202,67,42,206;192,168,80,187;;47,788319;47,788532;0,000213;7,2E-05;0,000141;6,9E-05
9163;47,788532;192,168,80,187;202,67,42,206;;47,788532;47,788673;0,000141;-2,3E-05;0,000164;0,000187
9164;47,788673;192,168,80,187;202,67,42,206;;47,788673;47,788837;0,000164;-0,009164;0,009328;0,018492
9165;47,788837;192,168,80,187;202,67,42,206;;47,788837;47,798165;0,009328;0,008083;0,001245;-0,006838
9166;47,798165;202,67,42,206;192,168,80,187;;47,798165;47,799410;0,001245;0,001223;2,2E-05;-0,001201
9167;47,799410;202,67,42,206;192,168,80,187;;47,799410;47,799432;2,2E-05;1E-06;2,1E-05;2E-05
9168;47,799432;202,67,42,206;192,168,80,187;;47,799432;47,799453;2,1E-05;2,1E-05;0;-2,1E-05
9169;47,799453;202,67,42,206;192,168,80,187;;47,799453;47,799453;0;0;0;0
9170;47,799453;202,67,42,206;192,168,80,187;;47,799453;47,799453;0;0;0;0
9171;47,799453;202,67,42,206;192,168,80,187;;47,799453;47,799453;0;-1,7E-05;1,7E-05;3,4E-05
9172;47,799453;202,67,42,206;192,168,80,187;;47,799453;47,799470;1,7E-05;-0,000218;0,000235;0,000453
9173;47,799470;202,67,42,206;192,168,80,187;;47,799470;47,799705;0,000235;8,2E-05;0,000153;7,1E-05
9174;47,799705;192,168,80,187;202,67,42,206;;47,799705;47,799858;0,000153;4E-06;0,000149;0,000145
9175;47,799858;192,168,80,187;202,67,42,206;;47,799858;47,800007;0,000149;-3,9E-05;0,000188;0,000227
9176;47,800007;192,168,80,187;202,67,42,206;;47,800007;47,800195;0,000188;5,3E-05;0,000135;8,2E-05
9177;47,800195;192,168,80,187;202,67,42,206;;47,800195;47,800330;0,000135;7E-06;0,000128;0,000121
9178;47,800330;192,168,80,187;202,67,42,206;;47,800330;47,800458;0,000128;5,1E-05;7,7E-05;2,6E-05
9179;47,800458;192,168,80,187;202,67,42,206;;47,800458;47,800535;7,7E-05;7,7E-05;0;-7,7E-05
9180;47,800535;202,67,42,206;192,168,80,187;;47,800535;47,800535;0;0;0;0
9181;47,800535;202,67,42,206;192,168,80,187;;47,800535;47,800535;0;0;0;0
9182;47,800535;202,67,42,206;192,168,80,187;;47,800535;47,800535;0;0;0;0
9183;47,800535;202,67,42,206;192,168,80,187;;47,800535;47,800535;0;0;0;0
9184;47,800535;202,67,42,206;192,168,80,187;;47,800535;47,800535;0;0;0;0
9185;47,800535;202,67,42,206;192,168,80,187;;47,800535;47,800535;0;0;0;0
9186;47,800535;202,67,42,206;192,168,80,187;;47,800535;47,800535;0;-3E-05;3E-05;6E-05
9187;47,800535;202,67,42,206;192,168,80,187;;47,800535;47,800565;3E-05;1,8E-05;1,2E-05;-6E-06
9188;47,800565;202,67,42,206;192,168,80,187;;47,800565;47,800577;1,2E-05;-7,10543E-15;1,2E-05;1,2E-05
9189;47,800577;202,67,42,206;192,168,80,187;;47,800577;47,800589;1,2E-05;-0,000386;0,000398;0,000784
9190;47,800589;202,67,42,206;192,168,80,187;;47,800589;47,800987;0,000398;0,000238;0,00016;-7,8E-05
9191;47,800987;192,168,80,187;202,67,42,206;;47,800987;47,801147;0,00016;1,5E-05;0,000145;0,00013
9192;47,801147;192,168,80,187;202,67,42,206;;47,801147;47,801292;0,000145;-1,6E-05;0,000161;0,000177
9193;47,801292;192,168,80,187;202,67,42,206;;47,801292;47,801453;0,000161;2,4E-05;0,000137;0,000113
9194;47,801453;192,168,80,187;202,67,42,206;;47,801453;47,801590;0,000137;7,9E-05;5,8E-05;-2,1E-05
9195;47,801590;192,168,80,187;202,67,42,206;;47,801590;47,801648;5,8E-05;0;5,8E-05;5,8E-05
9196;47,801648;202,67,42,206;192,168,80,187;;47,801648;47,801706;5,8E-05;-8,2E-05;0,00014;0,000222
9197;47,801706;192,168,80,187;202,67,42,206;;47,801706;47,801846;0,00014;-0,006423;0,006563;0,012986
9198;47,801846;192,168,80,187;202,67,42,206;;47,801846;47,808409;0,006563;0,006539;2,4E-05;-0,006515
9199;47,808409;202,67,42,206;192,168,80,187;;47,808409;47,808433;2,4E-05;2,4E-05;0;-2,4E-05
9200;47,808433;202,67,42,206;192,168,80,187;;47,808433;47,808433;0;-0,000309;0,000309;0,000618
9201;47,808433;202,67,42,206;192,168,80,187;;47,808433;47,808742;0,000309;0,000135;0,000174;3,9E-05
9202;47,808742;192,168,80,187;202,67,42,206;;47,808742;47,808916;0,000174;-0,000438;0,000612;0,00105
9203;47,808916;192,168,80,187;202,67,42,206;;47,808916;47,809528;0,000612;0,000403;0,000209;-0,000194
9204;47,809528;202,67,42,206;192,168,80,187;;47,809528;47,809737;0,000209;-0,006101;0,00631;0,012411
9205;47,809737;192,168,80,187;202,67,42,206;;47,809737;47,816047;0,00631;0,00631;0;-0,00631
9206;47,816047;202,67,42,206;192,168,80,187;;47,816047;47,816047;0;0;0;0
9207;47,816047;202,67,42,206;192,168,80,187;;47,816047;47,816047;0;0;0;0
9208;47,816047;202,67,42,206;192,168,80,187;;47,816047;47,816047;0;0;0;0
9209;47,816047;202,67,42,206;192,168,80,187;;47,816047;47,816047;0;0;0;0
9210;47,816047;202,67,42,206;192,168,80,187;;47,816047;47,816047;0;0;0;0
9211;47,816047;202,67,42,206;192,168,80,187;;47,816047;47,816047;0;0;0;0
9212;47,816047;202,67,42,206;192,168,80,187;;47,816047;47,816047;0;-3,6E-05;3,6E-05;7,2E-05
9213;47,816047;202,67,42,206;192,168,80,187;;47,816047;47,816083;3,6E-05;3,6E-05;0;-3,6E-05
9214;47,816083;202,67,42,206;192,168,80,187;;47,816083;47,816083;0;0;0;0
9215;47,816083;202,67,42,206;192,168,80,187;;47,816083;47,816083;0;-2,4E-05;2,4E-05;4,8E-05
9216;47,816083;202,67,42,206;192,168,80,187;;47,816083;47,816107;2,4E-05;2,4E-05;0;-2,4E-05
9217;47,816107;202,67,42,206;192,168,80,187;;47,816107;47,816107;0;0;0;0
9218;47,816107;202,67,42,206;192,168,80,187;;47,816107;47,816107;0;0;0;0
9219;47,816107;202,67,42,206;192,168,80,187;;47,816107;47,816107;0;-1,7E-05;1,7E-05;3,4E-05
9220;47,816107;202,67,42,206;192,168,80,187;;47,816107;47,816124;1,7E-05;-0,000247;0,000264;0,000511
9221;47,816124;202,67,42,206;192,168,80,187;;47,816124;47,816388;0,000264;9,7E-05;0,000167;7E-05
9222;47,816388;192,168,80,187;202,67,42,206;;47,816388;47,816555;0,000167;2,8E-05;0,000139;0,000111
9223;47,816555;192,168,80,187;202,67,42,206;;47,816555;47,816694;0,000139;1,3E-05;0,000126;0,000113
9224;47,816694;192,168,80,187;202,67,42,206;;47,816694;47,816820;0,000126;-3E-06;0,000129;0,000132
9225;47,816820;192,168,80,187;202,67,42,206;;47,816820;47,816949;0,000129;9E-06;0,00012;0,000111
9226;47,816949;192,168,80,187;202,67,42,206;;47,816949;47,817069;0,00012;2,8E-05;9,2E-05;6,4E-05
9227;47,817069;192,168,80,187;202,67,42,206;;47,817069;47,817161;9,2E-05;9,2E-05;0;-9,2E-05
9228;47,817161;202,67,42,206;192,168,80,187;;47,817161;47,817161;0;0;0;0
9229;47,817161;202,67,42,206;192,168,80,187;;47,817161;47,817161;0;0;0;0
9230;47,817161;202,67,42,206;192,168,80,187;;47,817161;47,817161;0;-4,1E-05;4,1E-05;8,2E-05
9231;47,817161;202,67,42,206;192,168,80,187;;47,817161;47,817202;4,1E-05;-0,000101;0,000142;0,000243
9232;47,817202;192,168,80,187;202,67,42,206;;47,817202;47,817344;0,000142;1,7E-05;0,000125;0,000108
9233;47,817344;192,168,80,187;202,67,42,206;;47,817344;47,817469;0,000125;7E-06;0,000118;0,000111
9234;47,817469;192,168,80,187;202,67,42,206;;47,817469;47,817587;0,000118;4E-06;0,000114;0,00011
9235;47,817587;192,168,80,187;202,67,42,206;;47,817587;47,817701;0,000114;-2E-06;0,000116;0,000118
9236;47,817701;192,168,80,187;202,67,42,206;;47,817701;47,817817;0,000116;-1,1E-05;0,000127;0,000138
9237;47,817817;192,168,80,187;202,67,42,206;;47,817817;47,817944;0,000127;2E-06;0,000125;0,000123
9238;47,817944;192,168,80,187;202,67,42,206;;47,817944;47,818069;0,000125;-2E-06;0,000127;0,000129
9239;47,818069;192,168,80,187;202,67,42,206;;47,818069;47,818196;0,000127;-2,1E-05;0,000148;0,000169
9240;47,818196;192,168,80,187;202,67,42,206;;47,818196;47,818344;0,000148;2,8E-05;0,00012;9,2E-05
9241;47,818344;192,168,80,187;202,67,42,206;;47,818344;47,818464;0,00012;-8,9E-05;0,000209;0,000298
9242;47,818464;192,168,80,187;202,67,42,206;;47,818464;47,818673;0,000209;-0,002513;0,002722;0,005235
9243;47,818673;192,168,80,187;202,67,42,206;;47,818673;47,821395;0,002722;0,002722;0;-0,002722
9244;47,821395;202,67,42,206;192,168,80,187;;47,821395;47,821395;0;-0,000236;0,000236;0,000472
9245;47,821395;202,67,42,206;192,168,80,187;;47,821395;47,821631;0,000236;-0,177824;0,17806;0,355884
9246;47,821631;192,168,80,187;202,67,42,206;;47,821631;47,999691;0,17806;0,177678;0,000382;-0,177296
9247;47,999691;202,67,42,206;192,168,80,187;;47,999691;48,000073;0,000382;-0,000754;0,001136;0,00189
9248;48,000073;192,168,80,187;202,67,42,206;;48,000073;48,001209;0,001136;0,000855;0,000281;-0,000574
9249;48,001209;202,67,42,206;192,168,80,187;;48,001209;48,001490;0,000281;-0,001418;0,001699;0,003117
9250;48,001490;192,168,80,187;202,67,42,206;;48,001490;48,003189;0,001699;0,001385;0,000314;-0,001071
9251;48,003189;202,67,42,206;192,168,80,187;;48,003189;48,003503;0,000314;-0,002736;0,00305;0,005786
9252;48,003503;192,168,80,187;202,67,42,206;;48,003503;48,006553;0,00305;0,001685;0,001365;-0,00032
9253;48,006553;202,67,42,206;192,168,80,187;;48,006553;48,007918;0,001365;0,000635;0,00073;9,5E-05
9254;48,007918;202,67,42,206;192,168,80,187;;48,007918;48,008648;0,00073;0,00022;0,00051;0,00029
9255;48,008648;192,168,80,187;202,67,42,206;;48,008648;48,009158;0,00051;0,000485;2,5E-05;-0,00046
9256;48,009158;202,67,42,206;192,168,80,187;;48,009158;48,009183;2,5E-05;-0,000214;0,000239;0,000453
9257;48,009183;202,67,42,206;192,168,80,187;;48,009183;48,009422;0,000239;7,3E-05;0,000166;9,3E-05
9258;48,009422;192,168,80,187;202,67,42,206;;48,009422;48,009588;0,000166;-0,002282;0,002448;0,00473
9259;48,009588;192,168,80,187;202,67,42,206;;48,009588;48,012036;0,002448;0,002428;2E-05;-0,002408
9260;48,012036;202,67,42,206;192,168,80,187;;48,012036;48,012056;2E-05;-0,000271;0,000291;0,000562
9261;48,012056;202,67,42,206;192,168,80,187;;48,012056;48,012347;0,000291;-0,001644;0,001935;0,003579
9262;48,012347;192,168,80,187;202,67,42,206;;48,012347;48,014282;0,001935;0,001935;0;-0,001935
9263;48,014282;202,67,42,206;192,168,80,187;;48,014282;48,014282;0;0;0;0
9264;48,014282;202,67,42,206;192,168,80,187;;48,014282;48,014282;0;-2,2E-05;2,2E-05;4,4E-05
9265;48,014282;202,67,42,206;192,168,80,187;;48,014282;48,014304;2,2E-05;-0,000206;0,000228;0,000434
9266;48,014304;202,67,42,206;192,168,80,187;;48,014304;48,014532;0,000228;8,1E-05;0,000147;6,6E-05
9267;48,014532;192,168,80,187;202,67,42,206;;48,014532;48,014679;0,000147;-9,5E-05;0,000242;0,000337
9268;48,014679;192,168,80,187;202,67,42,206;;48,014679;48,014921;0,000242;9,5E-05;0,000147;5,2E-05
9269;48,014921;192,168,80,187;202,67,42,206;;48,014921;48,015068;0,000147;-0,001044;0,001191;0,002235
9270;48,015068;192,168,80,187;202,67,42,206;;48,015068;48,016259;0,001191;0,0004;0,000791;0,000391
9271;48,016259;202,67,42,206;192,168,80,187;;48,016259;48,017050;0,000791;0,000458;0,000333;-0,000125
9272;48,017050;192,168,80,187;202,67,42,206;;48,017050;48,017383;0,000333;4E-05;0,000293;0,000253
9273;48,017383;202,67,42,206;192,168,80,187;;48,017383;48,017676;0,000293;-0,001806;0,002099;0,003905
9274;48,017676;192,168,80,187;202,67,42,206;;48,017676;48,019775;0,002099;0,002078;2,1E-05;-0,002057
9275;48,019775;202,67,42,206;192,168,80,187;;48,019775;48,019796;2,1E-05;-0,00018;0,000201;0,000381
9276;48,019796;202,67,42,206;192,168,80,187;;48,019796;48,019997;0,000201;5,9E-05;0,000142;8,3E-05
9277;48,019997;192,168,80,187;202,67,42,206;;48,019997;48,020139;0,000142;-0,000621;0,000763;0,001384
9278;48,020139;192,168,80,187;202,67,42,206;;48,020139;48,020902;0,000763;0,000562;0,000201;-0,000361
9279;48,020902;202,67,42,206;192,168,80,187;;48,020902;48,021103;0,000201;-0,000749;0,00095;0,001699
9280;48,021103;192,168,80,187;202,67,42,206;;48,021103;48,022053;0,00095;0,00095;0;-0,00095
9281;48,022053;202,67,42,206;192,168,80,187;;48,022053;48,022053;0;-2E-05;2E-05;4E-05
9282;48,022053;202,67,42,206;192,168,80,187;;48,022053;48,022073;2E-05;-0,000183;0,000203;0,000386
9283;48,022073;202,67,42,206;192,168,80,187;;48,022073;48,022276;0,000203;6E-05;0,000143;8,3E-05
9284;48,022276;192,168,80,187;202,67,42,206;;48,022276;48,022419;0,000143;-8,8E-05;0,000231;0,000319
9285;48,022419;192,168,80,187;202,67,42,206;;48,022419;48,022650;0,000231;-0,000126;0,000357;0,000483
9286;48,022650;192,168,80,187;202,67,42,206;;48,022650;48,023007;0,000357;0,000333;2,4E-05;-0,000309
9287;48,023007;202,67,42,206;192,168,80,187;;48,023007;48,023031;2,4E-05;-0,00022;0,000244;0,000464
9288;48,023031;202,67,42,206;192,168,80,187;;48,023031;48,023275;0,000244;0,000103;0,000141;3,8E-05
9289;48,023275;192,168,80,187;202,67,42,206;;48,023275;48,023416;0,000141;-0,000723;0,000864;0,001587
9290;48,023416;192,168,80,187;202,67,42,206;;48,023416;48,024280;0,000864;0,000667;0,000197;-0,00047
9291;48,024280;202,67,42,206;192,168,80,187;;48,024280;48,024477;0,000197;-0,004856;0,005053;0,009909
9292;48,024477;192,168,80,187;202,67,42,206;;48,024477;48,029530;0,005053;0,005031;2,2E-05;-0,005009
9293;48,029530;202,67,42,206;192,168,80,187;;48,029530;48,029552;2,2E-05;-2E-06;2,4E-05;2,6E-05
9294;48,029552;202,67,42,206;192,168,80,187;;48,029552;48,029576;2,4E-05;2,4E-05;0;-2,4E-05
9295;48,029576;202,67,42,206;192,168,80,187;;48,029576;48,029576;0;0;0;0
9296;48,029576;202,67,42,206;192,168,80,187;;48,029576;48,029576;0;0;0;0
9297;48,029576;202,67,42,206;192,168,80,187;;48,029576;48,029576;0;0;0;0
9298;48,029576;202,67,42,206;192,168,80,187;;48,029576;48,029576;0;-0,000253;0,000253;0,000506
9299;48,029576;202,67,42,206;192,168,80,187;;48,029576;48,029829;0,000253;9,6E-05;0,000157;6,1E-05
